Thorup Zwick Query	750	1688	128	7.214180	1.000000	1.502259	2724	0
Thorup Zwick Query	750	1688	2	2.999256	1.000000	1.189460	311	0
Thorup Zwick Query	750	1688	4	5.667912	1.000000	1.350595	300	0
Thorup Zwick Query	750	1688	8	5.280800	1.000000	1.472322	442	0
Thorup Zwick Query	750	1688	16	4.972777	1.000000	1.352922	409	0
Thorup Zwick Query	750	1688	32	7.357133	1.000000	1.395545	961	0
Thorup Zwick Query	750	1688	64	6.247994	1.000000	1.293875	882	0
Thorup Zwick Query	750	1688	128	7.004704	1.000000	1.492720	2261	0
Thorup Zwick Query	750	1688	2	2.999103	1.000000	1.168718	174	0
Thorup Zwick Query	750	1688	4	5.218716	1.000000	1.259485	219	0
Thorup Zwick Query	750	1688	8	5.743003	1.000000	1.231864	454	0
Thorup Zwick Query	750	1688	16	5.883347	1.000000	1.428211	534	0
Thorup Zwick Query	750	1688	32	6.472618	1.000000	1.405311	670	0
Thorup Zwick Query	750	1688	64	8.191909	1.000000	1.474105	1488	0
Thorup Zwick Query	750	1688	128	7.540317	1.000000	1.315139	2498	0
Thorup Zwick Query	750	1676	2	2.998922	1.000000	1.176992	271	0
Thorup Zwick Query	750	1676	4	5.576058	1.000000	1.304565	364	0
Thorup Zwick Query	750	1676	8	6.569305	1.000000	1.362925	430	0
Thorup Zwick Query	750	1676	16	6.410610	1.000000	1.385674	695	0
Thorup Zwick Query	750	1676	32	6.693198	1.000000	1.366497	764	0
Thorup Zwick Query	750	1676	64	6.189311	1.000000	1.427967	935	0
Thorup Zwick Query	750	1676	128	7.132133	1.000000	1.448275	2480	0
Thorup Zwick Query	1000	2289	2	2.999550	1.000000	1.188122	308	0
Thorup Zwick Query	1000	2289	4	5.612073	1.000000	1.212515	269	0
Thorup Zwick Query	1000	2289	8	5.816333	1.000000	1.260122	469	0
Thorup Zwick Query	1000	2289	16	6.676227	1.000000	1.311571	710	0
Thorup Zwick Query	1000	2289	32	7.721084	1.000000	1.382180	807	0
Thorup Zwick Query	1000	2289	64	7.798096	1.000000	1.423283	1313	0
Thorup Zwick Query	1000	2289	128	8.120895	1.000000	1.464096	2847	0
Thorup Zwick Query	1000	2256	2	2.998765	1.000000	1.168759	190	0
Thorup Zwick Query	1000	2256	4	5.422323	1.000000	1.269392	259	0
Thorup Zwick Query	1000	2256	8	6.653727	1.000000	1.284792	518	0
Thorup Zwick Query	1000	2256	16	7.497263	1.000000	1.372489	613	0
Thorup Zwick Query	1000	2256	32	6.746560	1.000000	1.360877	1291	0
Thorup Zwick Query	1000	2256	64	7.636464	1.000000	1.369561	1676	0
Thorup Zwick Query	1000	2256	128	9.371226	1.000000	1.471990	2694	0
Thorup Zwick Query	1000	2281	2	2.998965	1.000000	1.176732	270	0
Thorup Zwick Query	1000	2281	4	5.081239	1.000000	1.288402	334	0
Thorup Zwick Query	1000	2281	8	5.910798	1.000000	1.307768	351	0
Thorup Zwick Query	1000	2281	16	6.460859	1.000000	1.373920	804	0
Thorup Zwick Query	1000	2281	32	7.173705	1.000000	1.339313	1126	0
Thorup Zwick Query	1000	2281	64	8.342536	1.000000	1.293285	1738	0
Thorup Zwick Query	1000	2281	128	7.998327	1.000000	1.572221	2579	0
Thorup Zwick Query	1000	2274	2	2.999751	1.000000	1.174513	252	0
Thorup Zwick Query	1000	2274	4	5.651155	1.000000	1.275890	405	0
Thorup Zwick Query	1000	2274	8	6.406617	1.000000	1.417837	291	0
Thorup Zwick Query	1000	2274	16	6.782453	1.000000	1.367868	776	0
Thorup Zwick Query	1000	2274	32	7.877087	1.000000	1.353794	1180	0
Thorup Zwick Query	1000	2274	64	8.539210	1.000000	1.553007	1634	0
Thorup Zwick Query	1000	2274	128	7.272819	1.000000	1.410147	3303	0
Thorup Zwick Query	1000	2263	2	2.999208	1.000000	1.154827	265	0
Thorup Zwick Query	1000	2263	4	5.557693	1.000000	1.274338	384	0
Thorup Zwick Query	1000	2263	8	6.425928	1.000000	1.288730	498	0
Thorup Zwick Query	1000	2263	16	6.617594	1.000000	1.523389	800	0
Thorup Zwick Query	1000	2263	32	6.373232	1.000000	1.361807	602	0
