A*  (1)	2	5000	5867	25	4	3406610	
BDD (1)	2	5000	5867	31	4	3429192	
A*  (2)	2	5000	5867	25	0	930359	
BDD (2)	2	5000	5867	94	2	1596090	
A*  (3)	2	5000	5867	25	1	949452	
BDD (3)	2	5000	5867	27	1	1197032	
A*  (4)	2	5000	5867	25	1	992225	
BDD (4)	2	5000	5867	47	1	1329945	
A*  (5)	2	5000	5867	25	0	785018	
BDD (5)	2	5000	5867	27	1	1182300	
A*  (6)	2	5000	5867	25	1	786996	
BDD (6)	2	5000	5867	49	1	1122098	
A*  (7)	2	5000	5867	25	1	661290	
BDD (7)	2	5000	5867	30	2	1802208	
A*  (8)	2	5000	5867	25	1	1150030	
BDD (8)	2	5000	5867	80	1	1315444	
A*  (9)	2	5000	5867	25	1	1231274	
BDD (9)	2	5000	5867	30	2	1673161	
A*  (10)	2	5000	5867	25	1	1179596	
BDD (10)	2	5000	5867	28	2	1640893	
A*  (1)	3	5000	5867	25	0	730367	
BDD (1)	3	5000	5867	31	1	1091328	
A*  (2)	3	5000	5867	25	1	1131999	
BDD (2)	3	5000	5867	94	2	1179255	
A*  (3)	3	5000	5867	25	1	1048861	
BDD (3)	3	5000	5867	27	1	1585550	
A*  (4)	3	5000	5867	25	1	545312	
BDD (4)	3	5000	5867	47	1	716888	
A*  (5)	3	5000	5867	25	0	459453	
BDD (5)	3	5000	5867	27	1	590613	
A*  (6)	3	5000	5867	25	1	487158	
BDD (6)	3	5000	5867	49	0	530967	
A*  (7)	3	5000	5867	25	1	487845	
BDD (7)	3	5000	5867	30	1	416760	
A*  (8)	3	5000	5867	25	0	412659	
BDD (8)	3	5000	5867	80	0	592626	
A*  (9)	3	5000	5867	25	0	296322	
BDD (9)	3	5000	5867	30	0	399773	
A*  (10)	3	5000	5867	25	0	283703	
BDD (10)	3	5000	5867	28	0	241779	
A*  (1)	4	5000	5867	25	0	413443	
BDD (1)	4	5000	5867	31	1	273052	
A*  (2)	4	5000	5867	25	0	305708	
BDD (2)	4	5000	5867	94	1	569492	
A*  (3)	4	5000	5867	25	1	398064	
BDD (3)	4	5000	5867	27	1	302393	
A*  (4)	4	5000	5867	25	1	387695	
BDD (4)	4	5000	5867	47	0	509018	
A*  (5)	4	5000	5867	25	0	441113	
BDD (5)	4	5000	5867	27	1	443404	
A*  (6)	4	5000	5867	25	1	406613	
BDD (6)	4	5000	5867	49	1	481691	
A*  (7)	4	5000	5867	25	1	407660	
BDD (7)	4	5000	5867	30	0	261008	
A*  (8)	4	5000	5867	25	0	320351	
BDD (8)	4	5000	5867	80	0	714148	
A*  (9)	4	5000	5867	25	0	359152	
BDD (9)	4	5000	5867	30	1	459060	
A*  (10)	4	5000	5867	25	0	206140	
BDD (10)	4	5000	5867	28	0	136200	
A*  (1)	5	5000	5867	25	0	131668	
BDD (1)	5	5000	5867	31	0	110392	
A*  (2)	5	5000	5867	25	0	147213	
BDD (2)	5	5000	5867	94	0	186471	
A*  (3)	5	5000	5867	25	1	140859	
BDD (3)	5	5000	5867	27	0	139442	
A*  (4)	5	5000	5867	25	0	148457	
BDD (4)	5	5000	5867	47	0	180914	
A*  (5)	5	5000	5867	25	0	152209	
BDD (5)	5	5000	5867	27	0	141733	
A*  (6)	5	5000	5867	25	0	168068	
BDD (6)	5	5000	5867	49	1	196419	
A*  (7)	5	5000	5867	25	0	115161	
BDD (7)	5	5000	5867	30	1	107236	
